compartment_id,week,humidity,ammonia,temperature,light,ventilation_rate,status
0,0,45.2,1.3,36.2,4.3,0.24,1
1,0,88.0,0.3,38.2,11.6,0.61,2
2,2,68.1,4.1,22.6,21.8,1.73,2
0,0,53.8,0.8,37.1,9.0,0.31,0
1,0,69.5,0.7,36.4,10.7,0.97,0
2,3,63.7,0.2,28.3,8.1,1.1,0
2,5,42.4,2.2,24.9,8.0,2.65,0
1,0,67.5,4.4,35.7,3.1,1.41,1
2,2,40.0,4.4,31.6,31.8,1.58,0
1,0,66.8,0.1,38.1,12.5,1.38,1
0,0,37.8,1.4,39.0,2.9,0.54,2
0,0,68.9,3.4,37.5,7.0,0.05,2
0,0,50.1,4.5,36.8,9.8,0.09,1
2,5,57.4,2.6,23.7,21.6,1.22,0
0,0,52.9,0.3,39.7,1.4,0.17,2
2,2,75.0,1.5,27.9,32.4,2.81,1
1,0,66.5,2.2,38.5,5.3,1.05,1
0,0,42.3,1.1,37.2,7.2,0.19,1
2,3,61.7,24.6,27.8,9.1,0.6,2
2,4,58.4,15.0,25.4,33.7,1.78,1
2,2,82.6,3.4,29.2,15.5,3.32,1
1,0,64.4,0.3,36.0,0.0,0.97,1
2,6,47.9,26.2,24.0,28.7,2.17,2
1,0,79.0,5.2,39.1,9.6,1.24,2
0,0,58.1,3.0,37.8,0.5,0.29,1
2,1,58.3,19.8,33.3,6.0,0.98,1
0,0,57.3,0.3,36.5,4.2,0.48,1
2,3,66.3,0.3,30.6,22.9,1.59,1
2,4,70.3,10.3,22.7,7.0,2.33,1
0,0,61.6,1.8,35.2,4.3,0.52,2
1,0,53.4,18.6,35.5,0.0,0.85,2
2,3,48.8,5.2,24.6,23.8,3.13,1
2,1,72.4,4.4,31.7,27.1,1.66,1
1,0,75.5,5.0,36.5,8.8,0.84,0
0,0,46.8,0.3,37.2,9.6,0.22,1
1,0,75.8,18.1,37.8,11.2,1.07,2
2,4,62.2,14.2,24.4,8.6,1.9,1
0,0,56.9,1.1,36.9,0.6,0.23,0
2,1,60.6,6.0,40.5,12.8,0.54,2
0,0,55.4,0.6,41.3,2.2,0.27,2
2,1,76.6,0.8,37.6,31.3,1.51,2
0,0,52.5,6.7,37.0,7.4,0.31,1
1,0,61.2,1.2,34.7,10.9,0.71,2
0,0,59.4,2.1,37.5,6.6,0.36,1
2,5,50.7,12.8,25.2,24.8,2.66,0
0,0,46.5,5.3,38.1,9.6,0.47,1
0,0,47.2,3.4,37.1,1.6,0.43,1
0,0,47.5,0.2,38.0,3.3,0.23,1
0,0,58.2,2.5,35.9,5.4,0.29,1
1,0,69.7,7.3,37.1,5.9,0.88,1
2,6,63.1,1.5,23.3,28.1,2.6,1
1,0,78.4,0.2,38.0,13.1,0.47,1
2,5,46.1,7.2,29.5,16.5,2.91,2
2,2,63.1,0.9,29.2,30.6,1.96,0
2,5,63.5,0.7,20.3,25.4,0.98,1
0,0,56.0,4.9,38.5,9.6,0.4,1
2,1,48.2,3.1,27.5,26.7,1.38,2
0,0,44.2,5.0,38.3,4.7,0.64,1
1,0,61.7,3.0,36.6,0.3,0.77,1
1,0,78.7,2.6,37.9,1.8,1.17,1
0,0,57.2,2.0,35.8,2.3,0.44,1
0,0,58.9,0.9,36.3,4.6,0.22,1
0,0,48.2,1.6,37.3,6.0,0.55,0
0,0,59.6,0.4,36.2,1.0,0.52,1
1,0,61.9,3.9,36.8,10.5,0.92,1
0,0,46.9,1.1,37.5,0.3,0.36,1
1,0,68.0,3.4,35.6,10.3,0.8,1
2,4,58.3,9.8,27.5,5.9,1.36,0
1,0,80.7,1.4,38.6,14.0,1.05,1
1,0,67.7,4.3,37.4,8.3,1.84,0
1,0,79.2,4.1,36.6,7.9,0.87,1
1,0,82.1,2.6,37.0,9.2,1.38,1
2,6,48.6,12.5,17.9,24.8,4.37,1
1,0,60.8,3.1,36.7,7.4,1.42,1
1,0,66.7,2.2,35.2,3.1,0.88,1
0,0,59.5,1.4,37.9,3.5,0.52,1
1,0,77.3,2.3,37.1,10.9,1.38,0
1,0,74.2,19.4,36.8,4.3,1.4,2
0,0,44.2,2.5,38.1,7.3,0.43,1
1,0,66.1,14.2,36.0,2.7,0.76,2
0,0,47.8,0.3,37.4,4.1,0.66,1
1,0,71.9,1.5,39.0,6.0,0.75,2
2,5,53.9,7.3,23.5,16.9,1.39,0
1,0,55.3,7.1,35.9,6.5,1.09,1
2,4,61.2,1.5,23.3,6.1,2.68,1
0,0,58.0,1.5,39.0,8.6,0.54,1
1,0,68.6,1.3,36.5,0.9,1.25,0
0,0,44.3,0.5,37.6,0.9,0.48,1
0,0,53.1,0.4,36.8,9.9,0.38,0
0,0,42.2,1.8,38.0,3.4,0.45,1
1,0,62.7,0.9,38.1,10.1,0.78,1
0,0,52.3,0.7,39.8,8.3,0.34,2
2,1,69.2,1.9,36.3,24.8,3.31,1
1,0,63.1,3.7,35.4,4.8,0.85,1
0,0,51.2,3.8,38.7,5.7,0.46,1
0,0,59.3,5.3,37.9,3.2,0.32,1
0,0,53.9,2.0,37.3,0.1,0.13,1
2,5,65.5,7.3,19.1,21.4,0.27,1
2,4,52.2,1.5,25.9,24.3,2.0,0
0,0,53.4,1.6,39.4,0.3,0.58,1
1,0,71.2,2.6,34.8,5.9,1.57,1
2,3,52.0,20.9,29.2,6.8,2.31,1
0,0,52.3,0.5,35.8,6.2,0.76,1
0,0,54.3,0.9,37.8,6.1,0.63,0
1,0,69.5,6.9,37.2,7.8,0.81,0
2,1,35.9,26.4,34.5,19.5,2.35,2
2,6,55.8,8.0,19.3,33.5,2.96,0
1,0,79.3,4.2,37.3,2.6,1.15,1
0,0,48.1,3.8,36.0,2.7,0.29,1
1,0,74.1,0.6,38.3,6.4,1.24,1
0,0,47.9,5.0,38.1,2.2,0.59,1
2,2,63.8,0.5,35.5,9.3,0.92,1
2,5,77.8,4.7,21.5,26.7,2.31,1
1,0,58.6,0.3,38.2,1.3,1.2,1
0,0,64.1,1.1,35.5,3.4,0.15,1
1,0,66.4,4.1,39.3,4.1,1.07,2
1,0,75.1,2.4,35.5,2.9,0.95,1
1,0,81.7,2.5,36.2,0.9,1.15,1
1,0,74.4,3.1,35.6,1.5,1.55,1
0,0,36.7,0.3,37.1,9.7,0.25,2
1,0,71.0,2.9,38.3,9.4,1.07,1
0,0,54.1,0.4,37.1,0.6,0.84,0
0,0,44.8,1.2,36.7,3.5,0.36,1
2,4,57.3,16.5,21.0,9.9,1.92,1
1,0,70.0,7.6,37.1,3.1,0.85,1
1,0,71.9,6.2,38.2,4.6,1.11,1
0,0,49.2,7.9,37.0,5.7,0.37,1
0,0,70.3,3.6,38.4,1.7,0.29,2
2,3,51.3,3.7,25.0,7.0,2.05,1
0,0,58.1,0.0,38.1,0.2,0.26,1
1,0,72.9,0.3,35.6,11.7,0.76,1
2,2,56.8,32.9,30.4,12.2,1.73,2
2,5,46.5,0.9,22.3,25.8,2.01,0
2,1,46.2,1.5,30.8,24.7,1.44,1
1,0,68.5,8.7,35.5,6.7,0.82,1
1,0,73.8,5.9,35.4,0.2,1.27,1
1,0,62.7,6.2,36.5,8.7,0.65,0
0,0,46.0,2.0,38.2,4.5,0.34,1
2,5,54.5,3.1,19.8,27.1,0.16,1
0,0,63.3,5.6,37.0,9.6,0.31,1
0,0,54.2,4.1,38.1,0.8,0.42,1
0,0,52.9,1.2,37.3,4.5,0.61,0
0,0,54.2,1.8,36.7,1.5,0.37,0
0,0,58.6,4.1,39.6,1.1,0.6,2
0,0,46.2,1.1,35.9,7.7,0.14,1
2,2,58.4,11.6,32.2,13.0,1.43,0
1,0,64.1,9.2,36.8,11.7,0.7,1
0,0,56.2,0.1,36.4,9.7,0.78,1
0,0,45.5,0.3,37.4,4.9,0.36,1
1,0,67.4,10.5,37.8,3.4,0.71,1
0,0,38.1,1.2,38.5,1.6,0.41,2
2,6,40.5,16.9,20.5,12.8,2.91,1
2,2,62.3,30.7,26.9,27.4,0.97,2
2,6,45.1,6.2,21.7,26.8,2.73,0
1,0,65.4,6.8,37.3,3.2,1.43,0
0,0,63.3,3.4,37.5,6.1,0.25,1
1,0,74.4,8.3,39.0,9.5,0.78,2
1,0,79.3,5.4,37.4,13.2,1.09,1
2,2,67.9,10.8,26.7,29.5,3.24,1
0,0,64.5,4.7,38.6,8.4,0.88,1
0,0,60.9,3.5,38.4,8.4,0.4,1
1,0,64.3,5.1,32.8,13.3,0.27,2
2,2,33.9,9.5,26.3,5.1,0.78,2
0,0,42.9,5.2,39.0,5.1,0.05,2
2,5,79.1,6.6,28.0,23.1,2.82,1
2,4,54.9,0.6,27.6,6.8,3.05,0
0,0,49.5,1.8,38.2,3.7,0.42,0
0,0,52.4,2.3,36.8,7.4,0.33,0
2,1,61.9,4.4,33.6,24.1,1.72,0
1,0,72.1,15.6,37.1,2.5,0.52,2
2,1,75.1,9.6,38.1,32.9,1.67,2
0,0,50.4,4.1,38.1,4.6,0.43,1
0,0,63.0,0.1,38.6,9.0,0.37,1
1,0,68.1,10.2,37.0,7.1,0.65,1
0,0,46.8,0.7,36.3,9.1,0.18,1
1,0,78.1,1.2,35.7,2.3,0.92,1
2,4,79.4,3.4,29.0,14.5,1.86,1
2,2,59.2,1.1,30.9,31.5,3.35,0
0,0,48.8,0.8,37.4,7.3,0.13,1
0,0,56.3,2.3,38.2,3.5,0.34,0
0,0,51.9,2.9,36.5,5.5,0.55,1
2,6,81.1,2.1,14.1,30.4,2.75,2
1,0,76.3,2.5,37.3,6.2,1.22,0
2,6,52.8,0.4,27.2,28.6,3.1,2
2,5,43.6,11.3,22.0,20.6,2.26,0
1,0,66.5,11.7,36.5,8.4,0.76,1
1,0,84.1,0.4,39.0,5.2,0.73,2
2,6,45.4,4.1,16.5,7.8,0.3,1
0,0,54.4,3.9,35.3,5.8,0.59,2
2,6,40.4,9.5,22.6,28.8,2.09,0
2,3,51.7,1.5,30.6,20.2,1.66,1
0,0,58.5,0.9,37.6,8.0,0.46,1
1,0,79.9,13.7,36.8,6.3,0.63,2
1,0,72.7,0.4,37.3,0.4,0.73,0
1,0,61.2,14.5,36.2,5.1,1.17,2
1,0,63.0,2.5,36.5,12.3,1.4,0
0,0,37.3,4.4,37.4,3.4,0.46,2
1,0,68.3,0.6,35.8,5.2,0.87,1
2,2,70.1,7.8,32.9,15.6,1.92,1
2,3,44.2,9.0,31.9,14.8,2.26,1
2,6,61.3,14.5,19.8,13.4,3.1,1
0,0,48.8,0.2,38.7,7.6,0.11,1
0,0,54.3,5.1,38.1,7.7,0.48,1
1,0,76.0,0.0,38.1,2.5,1.12,1
1,0,54.1,8.0,34.8,8.2,1.09,2
1,0,67.4,2.2,36.7,0.4,0.99,0
1,0,67.0,1.4,37.7,13.7,1.26,1
0,0,59.2,0.8,38.2,8.7,0.24,1
1,0,68.0,0.3,36.3,3.9,1.03,0
0,0,58.2,2.3,36.8,0.6,0.17,1
1,0,82.0,8.9,37.9,2.8,0.96,1
0,0,49.1,0.8,37.3,7.9,0.05,2
0,0,53.3,4.5,36.6,6.0,0.4,1
0,0,45.2,1.0,38.3,1.6,0.33,1
1,0,79.2,3.6,38.7,10.5,1.03,1
1,0,63.7,2.6,34.9,14.8,0.67,1
2,6,52.8,3.6,20.7,19.2,1.82,0
1,0,59.5,0.9,34.3,7.7,1.27,2
1,0,72.0,1.3,37.2,6.9,0.49,1
1,0,72.6,2.0,36.4,1.3,0.94,0
0,0,62.3,5.3,37.7,5.7,0.34,1
2,6,50.6,10.5,19.2,31.5,1.1,0
0,0,63.7,0.9,38.4,8.2,0.38,1
1,0,75.7,6.4,36.1,9.9,0.58,0
0,0,46.1,3.5,37.2,0.7,0.31,1
2,2,69.7,3.6,28.6,22.8,2.93,1
1,0,70.0,0.5,35.4,2.3,1.16,1
0,0,45.0,0.0,36.2,4.2,0.37,1
2,3,49.2,0.4,36.2,8.7,0.43,2
2,1,53.0,15.3,35.2,17.1,1.48,1
0,0,45.3,3.9,36.4,4.5,0.46,1
2,1,33.2,7.0,34.5,16.1,1.45,2
0,0,50.6,1.9,37.4,5.1,0.44,0
0,0,50.8,0.4,36.3,0.3,0.51,1
1,0,78.5,0.3,35.1,6.1,1.39,1
0,0,61.6,2.2,36.1,5.6,0.37,1
2,4,56.2,0.8,22.5,11.3,1.88,1
2,2,44.9,5.4,32.8,8.9,1.65,1
1,0,67.7,3.7,37.6,12.4,0.96,1
0,0,52.9,1.9,38.0,1.7,0.43,0
0,0,61.6,0.9,37.2,2.6,0.1,1
2,4,66.5,1.2,23.2,18.3,0.54,1
2,2,51.6,40.7,23.0,31.4,2.88,2
1,0,82.0,0.6,39.2,12.8,0.9,2
0,0,54.7,8.3,35.7,9.1,0.4,2
1,0,72.2,0.5,38.9,11.9,0.86,2
0,0,44.8,9.9,37.4,4.8,0.4,2
1,0,92.8,3.3,38.1,6.6,0.56,2
2,3,63.1,10.3,27.5,31.8,0.24,1
2,4,53.7,44.4,20.7,6.8,3.11,2
0,0,51.6,5.6,38.9,0.6,0.32,1
0,0,59.2,6.6,38.7,0.3,0.51,1
2,6,60.5,8.3,27.7,29.6,2.97,2
1,0,66.3,0.1,35.8,11.1,1.3,1
0,0,54.3,0.0,36.8,9.4,0.44,0
0,0,55.5,0.2,38.1,4.9,0.56,0
1,0,62.1,0.1,38.0,4.6,1.74,1
0,0,53.2,0.9,38.4,0.8,0.47,1
2,2,66.3,0.4,32.6,7.2,0.71,1
1,0,76.1,10.6,35.9,6.1,0.78,1
2,6,31.0,2.0,20.2,24.2,2.05,2
0,0,63.4,0.5,37.8,7.2,0.25,1
1,0,68.7,3.2,38.4,9.6,0.12,2
1,0,73.3,3.2,39.0,7.8,1.18,2
0,0,56.0,1.3,37.8,1.6,0.16,0
0,0,48.6,0.8,38.6,7.1,0.35,1
2,2,49.9,22.6,24.4,7.5,2.15,2
1,0,77.2,8.9,35.5,6.5,0.77,1
0,0,51.8,2.8,38.2,1.2,0.37,0
2,1,61.3,8.8,31.3,34.0,1.35,0
2,1,56.9,2.5,34.2,19.3,2.0,0
2,4,54.1,0.9,22.9,24.0,2.89,1
2,4,39.1,4.3,26.5,26.6,2.75,0
1,0,68.1,4.5,36.4,9.1,1.13,0
1,0,68.8,0.5,37.6,11.1,0.88,1
0,0,50.7,1.1,39.9,0.6,0.47,2
1,0,80.4,0.4,37.1,10.3,1.1,1
1,0,68.5,2.1,36.6,8.0,0.08,2
1,0,63.4,8.4,37.9,0.6,1.49,1
2,4,44.6,1.1,24.1,30.7,1.42,0
1,0,71.3,1.2,36.5,0.3,1.34,0
1,0,74.4,3.4,35.9,8.5,0.57,1
0,0,53.4,4.7,37.7,0.2,0.38,1
0,0,46.5,0.4,37.8,9.0,0.22,1
0,0,47.4,1.7,36.6,7.5,0.21,1
1,0,84.9,4.1,36.8,8.4,1.15,1
1,0,65.7,0.9,35.3,2.1,1.45,1
0,0,59.3,0.4,38.2,6.4,0.36,1
0,0,51.3,0.9,38.3,4.7,0.42,0
1,0,73.1,2.8,37.5,3.5,1.07,0
1,0,65.0,5.7,34.8,5.3,1.23,2
1,0,85.3,2.3,37.0,0.7,0.34,2
1,0,77.9,9.1,36.7,10.1,0.17,2
1,0,72.0,2.8,37.5,6.1,0.71,0
2,2,56.5,4.9,26.1,32.6,1.6,1
1,0,73.0,5.7,36.1,2.4,1.01,0
1,0,75.8,4.1,35.6,10.0,1.08,1
1,0,72.1,7.2,35.4,11.8,1.37,1
1,0,73.3,2.9,36.2,12.1,0.7,0
0,0,67.7,0.3,36.5,2.9,0.3,1
2,3,62.4,5.8,28.2,19.4,1.42,0
1,0,56.9,6.2,37.1,3.8,1.35,1
0,0,44.3,0.7,39.2,1.9,0.05,2
0,0,56.1,0.6,37.5,4.3,0.18,0
2,3,45.9,14.6,22.7,9.3,2.7,2
1,0,68.7,6.1,36.6,7.1,1.32,0
2,2,39.1,1.6,31.8,14.9,1.71,0
0,0,43.2,5.3,38.0,4.6,0.16,1
2,3,66.5,9.5,26.8,28.1,1.24,0
0,0,48.8,0.9,38.0,9.3,0.34,0
2,6,84.2,7.1,26.0,6.8,3.09,2
2,6,54.7,17.1,18.5,6.6,1.82,1
1,0,79.4,2.2,37.8,11.4,1.3,1
0,0,59.0,0.5,37.8,3.7,0.47,1
2,6,49.4,11.5,16.9,21.3,1.72,1
2,2,45.0,12.1,27.5,22.5,2.42,1
2,2,51.5,23.8,23.9,24.0,2.14,2
0,0,67.0,1.2,36.2,9.3,0.97,1
1,0,77.0,2.5,38.1,13.8,1.38,1
1,0,68.6,0.2,37.9,2.1,0.98,1
1,0,75.5,5.2,37.3,8.4,1.0,0
2,2,60.5,10.6,32.6,16.5,1.57,1
2,3,50.7,9.8,23.6,29.5,2.4,1
2,5,76.8,15.9,23.5,10.4,2.03,1
1,0,77.7,0.6,34.2,13.0,0.83,2
2,2,59.5,12.7,28.0,12.5,2.65,1
2,3,63.2,1.4,24.2,10.6,1.96,1
0,0,61.7,1.0,37.2,7.3,0.05,2
1,0,74.2,1.8,35.1,1.3,1.43,1
2,2,49.0,32.2,27.1,28.5,1.0,2
2,6,62.9,7.4,23.0,34.7,2.34,1
0,0,43.7,8.8,37.3,1.1,0.37,2
1,0,71.7,3.5,35.2,3.1,0.72,1
2,2,75.5,8.0,30.7,21.5,2.1,2
1,0,72.8,0.3,36.9,1.1,0.97,0
1,0,67.2,0.4,37.0,8.3,1.65,0
0,0,45.0,3.1,38.5,6.1,0.13,1
1,0,68.5,3.5,35.7,10.5,1.1,1
0,0,49.5,1.2,37.7,9.4,0.49,0
1,0,77.9,0.8,36.9,10.1,0.88,0
1,0,69.0,5.5,35.8,13.7,0.44,1
0,0,33.3,14.0,37.0,2.3,0.47,2
2,1,67.4,1.8,36.7,24.6,1.22,1
1,0,81.3,0.3,34.5,14.3,1.35,2
1,0,76.2,2.7,36.5,4.2,0.83,0
1,0,76.1,2.9,38.4,1.0,1.31,1
1,0,67.6,6.4,35.1,5.0,0.85,1
1,0,75.8,2.2,38.4,6.6,0.64,1
2,5,71.8,5.5,22.2,28.6,0.97,1
1,0,65.2,2.7,37.3,13.9,1.0,0
2,1,72.3,8.5,31.5,12.8,1.78,1
0,0,59.0,4.4,37.2,4.5,0.54,1
0,0,39.1,0.7,39.7,7.4,0.25,2
2,5,41.3,5.6,25.1,33.2,0.91,0
0,0,51.0,0.2,38.3,8.3,0.41,0
0,0,59.5,4.9,34.9,7.5,0.45,2
0,0,45.5,3.2,34.7,3.8,0.05,2
2,5,66.7,5.8,22.1,9.8,2.73,0
0,0,40.5,3.3,36.3,8.8,0.41,1
2,4,51.9,3.0,23.2,10.0,1.73,1
2,6,40.3,11.1,18.4,22.2,1.97,1
0,0,62.4,3.0,37.8,7.0,0.05,2
0,0,45.6,2.0,36.8,5.8,0.34,1
0,0,46.7,2.9,39.8,2.1,0.27,2
0,0,60.8,3.7,38.4,9.5,0.46,1
2,1,44.1,17.3,37.0,11.7,3.37,1
1,0,82.3,7.2,37.1,12.3,0.98,1
2,6,52.1,1.6,24.7,30.6,3.14,1
0,0,52.9,1.3,37.1,6.5,0.08,1
2,4,59.3,4.8,25.5,20.4,2.03,0
1,0,74.3,1.0,34.5,5.3,0.78,2
1,0,59.8,0.2,36.6,5.2,0.51,1
2,6,41.3,5.3,23.0,5.2,2.48,0
2,1,35.1,6.4,35.0,20.6,3.46,1
1,0,79.9,0.6,36.9,10.1,1.49,1
2,4,56.8,11.1,27.9,32.2,1.91,1
2,3,50.7,15.3,32.6,21.2,1.37,1
0,0,46.1,0.6,38.8,3.1,0.54,1
0,0,43.2,6.0,37.1,5.1,0.17,1
1,0,74.0,2.3,38.6,8.2,0.98,1
0,0,52.6,2.5,37.6,3.2,0.19,0
1,0,76.3,6.9,36.1,0.9,0.55,0
0,0,57.4,3.6,38.2,1.9,0.4,0
0,0,49.8,0.8,36.9,0.3,0.34,0
0,0,55.5,3.8,38.7,4.3,0.36,1
2,5,77.8,0.8,19.1,27.4,1.42,1
0,0,53.9,0.2,36.7,10.0,0.58,1
0,0,45.9,0.1,36.5,3.6,0.3,1
2,6,62.7,8.5,15.6,12.0,3.07,2
2,3,34.0,4.0,30.1,7.1,0.78,2
0,0,63.9,3.1,37.1,3.9,0.45,1
2,6,71.7,8.0,16.8,19.1,0.79,1
0,0,59.2,2.2,38.3,0.5,0.74,1
2,6,61.7,1.5,19.5,20.0,1.87,0
0,0,53.4,0.2,37.7,5.5,0.5,0
0,0,56.9,1.5,38.2,6.7,0.17,0
0,0,44.1,1.5,37.3,6.9,0.4,1
1,0,62.3,3.4,37.7,4.2,0.89,1
1,0,81.0,1.8,38.9,0.8,0.97,2
1,0,71.4,1.1,36.3,10.4,1.26,0
2,5,49.0,17.3,27.0,8.8,1.52,1
0,0,55.0,1.6,36.7,8.5,0.36,0
1,0,64.0,2.3,36.4,5.9,1.26,0
0,0,51.6,0.2,37.9,2.1,0.2,0
1,0,69.7,11.4,36.0,1.1,1.43,1
0,0,41.1,4.0,34.5,3.3,0.26,2
0,0,50.5,0.7,36.9,3.6,0.26,0
